Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Age Group
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,33-37
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,23-27
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,48-52
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,33-37
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,28-32
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,43-47
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,43-47
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,28-32
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,58-62
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,48-52
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,18-22
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,33-37
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,18-22
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,63-64
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,38-42
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,18-22
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,23-27
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,43-47
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,58-62
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,18-22
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,48-52
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,18-22
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,33-37
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,48-52
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,63-64
26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,23-27
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,33-37
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,38-42
29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,38-42
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,38-42
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,43-47
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,28-32
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,48-52
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,48-52
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,53-57
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,48-52
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,18-22
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,33-37
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,18-22
40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,43-47
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,33-37
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,18-22
43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,43-47
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,18-22
45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,53-57
